"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00026353","PEARCE SUNSITES, AZ US","31.9355","-109.8377","1325.9","2018-07","34.5",",,,7","19.4",",,,7"
"US1COEP0192","COLORADO SPRINGS 13.9 NNE, CO US","39.0267","-104.7478","2220.5","2018-07",,,,
"US1NMBR0085","TIJERAS 9.6 SSE, NM US","34.9587","-106.3155","2254.9","2018-07",,,,
"US1COEP0194","COLORADO SPRINGS 1.1 NE, CO US","38.8437","-104.8052","1848.6","2018-07",,,,
"US1NMBR0082","ALBUQUERQUE 3.2 SSE, NM US","35.0718","-106.611","1599.0","2018-07",,,,
"US1NMTR0005","EDGEWOOD 7.0 SSW, NM US","34.9855","-106.2023","2055.0","2018-07",,,,
"US1NMSM0019","LAS VEGAS 4.6 SSW, NM US","35.5395","-105.2542","1974.8","2018-07",,,,
"USC00057450","SANTA MARIA RESERVOIR, CO US","37.8226","-107.1097","2952.6","2018-07","23.6",",,,7","5.1",",,,7"
"USC00058781","WALSENBURG 1 NW, CO US","37.6302","-104.7956","1920.2","2018-07","32.0",",,,7","14.8",",,,7"
"US1COOT0037","ROCKY FORD 0.4 SE, CO US","38.0462","-103.7165","127.7","2018-07",,,,
"US1COOT0038","ROCKY FORD 0.5 SSW, CO US","38.0439","-103.7258","1288.4","2018-07",,,,
"USS0010J17S","BEAR RIVER RANGER STATION, UT US","40.89","-110.83","2675.2","2018-07","25.5",",,,T","5.9",",,,T"
"US1NMSM0010","LAS VEGAS 12.1 W, NM US","35.6227","-105.4337","2209.5","2018-07",,,,
"USC00050825","BONHAM RESERVOIR, CO US","39.1025","-107.8988","3002.9","2018-07","22.4",",,,7","7.0",",,,7"
"USC00422578","EPHRAIM, UT US","39.3583","-111.5991","1675.8","2018-07","34.8",",,,7","13.4",",,,7"
"USC00424755","KODACHROME BASIN PARK, UT US","37.5141","-111.9883","1769.4","2018-07","34.6","1,,,7","13.7","1,,,7"
"USC00057460","SARGENTS, CO US","38.4039","-106.4236","2578.6","2018-07","28.1",",,,7","4.0",",,,7"
"USC00291469","CARLSBAD, NM US","32.3479","-104.2224","951.0","2018-07","36.0",",,,7","21.7",",,,7"
"US1NMTR0001","MOUNTAINAIR 1.0 S, NM US","34.5061","-106.2423","2011.7","2018-07",,,,
"USC00293649","GRAN QUIVIRA NATIONAL MON, NM US","34.2594","-106.0931","2011.7","2018-07","31.7","1,,,7","14.5","1,,,7"
"USS0006L05S","SAINT ELMO, CO US","38.7","-106.37","3212.6","2018-07",,,,
"US1NMTR0018","ESTANCIA 6.4 WSW 2, NM US","34.7297","-106.1674","1910.8","2018-07",,,,
"USC00025494","METEOR CRATER, AZ US","35.0364","-111.0231","1687.1","2018-07","33.4",",,,7","15.1","2,,,7"
"USS0011K29S","UPPER JOES VALLEY, UT US","39.42","-111.25","2646.0","2018-07","25.3",",,,T","8.9",",,,T"
"US1NMTR0017","ESTANCIA 7.1 WSW, NM US","34.71","-106.1697","1914.1","2018-07",,,,
"US1NMTR0013","MOUNTAINAIR 4.5 W, NM US","34.5286","-106.321","2021.4","2018-07",,,,
"US1NMTR0016","ESTANCIA 6.4 WSW, NM US","34.7315","-106.167","1919.0","2018-07",,,,
"US1UTPT0002","CIRCLEVILLE 0.7 W, UT US","38.1653","-112.2746","1852.9","2018-07",,,,
"US1COOT0042","LA JUNTA 17.5 S, CO US","37.7307","-103.4963","1291.4","2018-07",,,,
"USC00421259","CEDAR CITY, UT US","37.6658","-113.08372","1856.2","2018-07","32.5",",,,7","17.5",",,,7"
"USC00421258","CEDAR BREAKS N.M., UT US","37.6094","-112.8377","3161.4","2018-07","22.0","1,,,7","13.1",",,,7"
"US1NMSM0028","PECOS 6.8 N, NM US","35.6724","-105.6877","2244.2","2018-07",,,,
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","36.2047","-112.0622","2479.2","2018-07","28.2",",,,U","12.6",",,,U"
